Time Series,R2,R2_Adj,AIC,BIC
TS1,0.78309,0.78221,8982.14846,9014.02778
TS2,0.65226,0.65086,10360.81399,10392.69331
TS3,0.99753,0.99752,5427.24714,5459.12646
TS4,0.15971,0.15633,12947.12439,12979.00371
TS5,0.54825,0.54644,11927.86605,11959.74537
TS6,0.87984,0.87935,7986.23543,8018.11475
TS7,0.98633,0.98628,3175.35533,3207.23466
TS8,0.81408,0.81333,7561.82920,7593.70852
TS9,0.93257,0.93230,9277.51122,9309.39054
TS10,0.99892,0.99891,1273.41285,1305.29217
TS11,0.70562,0.70444,12222.89848,12254.77780
TS12,0.89118,0.89074,8945.46813,8977.34745
TS13,0.80824,0.80747,10298.08449,10329.96381
TS14,0.73649,0.73543,11518.89908,11550.77841
TS15,0.99925,0.99925,1950.68147,1982.56079
TS16,0.32594,0.32323,13765.99300,13797.87232
TS17,0.55128,0.54948,11159.30976,11191.18908
TS18,0.70597,0.70479,10232.19513,10264.07445
TS19,0.98684,0.98678,-1445.00674,-1413.12741
TS20,0.98464,0.98458,3798.40659,3830.28591
TS21,0.91300,0.91265,8616.56441,8648.44373
TS22,0.96835,0.96822,9069.10397,9100.98329
TS23,0.93839,0.93814,4356.05336,4387.93268
TS24,0.80191,0.80112,4709.16734,4741.04667
TS25,0.55894,0.55717,8804.71351,8836.59283
TS26,0.61403,0.61248,12041.71523,12073.59455
TS27,0.27530,0.27239,12935.72160,12967.60092
TS28,0.99701,0.99700,3222.63363,3254.51295
TS29,0.22647,0.22336,10274.00547,10305.88479
TS30,0.55117,0.54937,12296.26403,12328.14335
TS31,-0.00000,-0.00402,11976.85716,12008.73648
TS32,0.78539,0.78453,7922.16282,7954.04215
TS33,0.82711,0.82642,8375.37568,8407.25500
TS34,0.85111,0.85051,10938.14480,10970.02412
TS35,0.80598,0.80520,9952.21894,9984.09826
TS36,-0.00000,-0.00402,8860.36588,8892.24520
TS37,0.88213,0.88166,11165.75312,11197.63244
TS38,-0.00000,-0.00402,10058.23940,10090.11872
TS39,0.99295,0.99292,4040.78234,4072.66166
TS40,0.67927,0.67798,12035.71392,12067.59324
TS41,0.41086,0.40850,7416.58824,7448.46756
TS42,-0.00139,-0.00542,8074.79613,8106.67545
TS43,0.99840,0.99839,4263.22153,4295.10085
TS44,-0.00000,-0.00402,8934.34243,8966.22175
TS45,0.96710,0.96697,3610.92687,3642.80619
TS46,0.75400,0.75302,10638.35795,10670.23727
TS47,-0.00000,-0.00402,8490.18521,8522.06453
TS48,-0.00000,-0.00402,10349.94961,10381.82893
TS49,0.99190,0.99187,4931.76863,4963.64795
TS50,0.99321,0.99318,3029.20610,3061.08543
TS51,0.99377,0.99374,3825.26455,3857.14387
TS52,-0.00004,-0.00406,730.03578,761.91511
TS53,0.84128,0.84064,8678.93465,8710.81397
TS54,-0.00001,-0.00403,11857.63335,11889.51267
TS55,-0.00064,-0.00466,12500.42990,12532.30922
TS56,0.82918,0.82850,4524.22179,4556.10112
TS57,0.93208,0.93181,9035.90172,9067.78104
TS58,0.32881,0.32612,1055.77715,1087.65647
TS59,0.95017,0.94997,7597.80013,7629.67945
TS60,-0.00001,-0.00402,-719.22248,-687.34316
TS61,-0.00000,-0.00402,12660.53461,12692.41393
TS62,-0.00000,-0.00402,12117.04620,12148.92552
TS63,-0.00004,-0.00406,13628.11889,13659.99821
TS64,-0.00001,-0.00402,5973.37199,6005.25132
TS65,-0.00000,-0.00402,5573.52756,5605.40688
TS66,0.67533,0.67402,11908.46648,11940.34580
TS67,0.69502,0.69379,12798.41434,12830.29367
TS68,0.99439,0.99437,5155.28239,5187.16171
TS69,0.79520,0.79437,7444.34687,7476.22619
TS70,0.79122,0.79038,10216.50411,10248.38343
TS71,0.04210,0.03825,11370.49989,11402.37921
TS72,0.42404,0.42172,10734.06357,10765.94289
TS73,0.42927,0.42698,13206.34366,13238.22298
TS74,0.48266,0.48059,11089.01445,11120.89377
TS75,0.50019,0.49818,11629.62593,11661.50526
TS76,0.53864,0.53679,12706.39396,12738.27328
TS77,0.99211,0.99208,6200.92001,6232.79933
TS78,-0.00003,-0.00404,457.07014,488.94947
TS79,-0.00004,-0.00406,12120.42480,12152.30412
TS80,0.35773,0.35515,10648.93408,10680.81340
TS81,0.96522,0.96508,8946.56180,8978.44112
TS82,0.86668,0.86614,10716.90819,10748.78752
TS83,-0.00038,-0.00440,14116.42248,14148.30180
TS84,0.91297,0.91262,7891.85556,7923.73489
TS85,0.91611,0.91578,6443.33846,6475.21779
TS86,0.94857,0.94837,5601.92674,5633.80606
TS87,0.84016,0.83952,6175.85057,6207.72989
TS88,-0.00110,-0.00512,12117.47353,12149.35285
TS89,0.99579,0.99577,1189.56601,1221.44534
TS90,0.81021,0.80945,11620.28453,11652.16386
TS91,0.89985,0.89944,10791.54185,10823.42118
TS92,0.65790,0.65653,8707.40601,8739.28533
TS93,0.73977,0.73872,9655.19983,9687.07916
TS94,-0.00003,-0.00405,6667.55522,6699.43454
TS95,0.96467,0.96452,3976.73113,4008.61045
TS96,0.89744,0.89703,10911.65873,10943.53805
TS97,0.83467,0.83401,4400.61860,4432.49792
TS98,0.62023,0.61870,12740.84544,12772.72477
TS99,0.59922,0.59760,11677.86731,11709.74663
TS100,0.65697,0.65559,7869.51318,7901.39251
