Time Series,R2,R2_Adj,AIC,BIC
TS1,0.97614,0.97604,7792.00835,7823.88767
TS2,0.81938,0.81866,9976.42527,10008.30459
TS3,0.98571,0.98566,1273.44518,1305.32450
TS4,0.49693,0.49490,12618.37151,12650.25083
TS5,0.82894,0.82825,10858.02170,10889.90102
TS6,0.93671,0.93645,6517.19166,6549.07098
TS7,0.99679,0.99678,3473.61182,3505.49114
TS8,0.97721,0.97711,6057.67736,6089.55668
TS9,0.89324,0.89281,8601.91244,8633.79176
TS10,0.99508,0.99506,910.63121,942.51054
TS11,0.99233,0.99230,4910.88358,4942.76290
TS12,-0.00003,-0.00405,5871.80616,5903.68548
TS13,0.70954,0.70837,8167.39852,8199.27785
TS14,0.99242,0.99239,4262.30632,4294.18564
TS15,0.98508,0.98502,-603.62160,-571.74228
TS16,0.35232,0.34971,13598.89129,13630.77061
TS17,0.84901,0.84840,8047.56316,8079.44248
TS18,0.91457,0.91423,9476.73539,9508.61471
TS19,0.99826,0.99825,4248.79023,4280.66955
TS20,0.89330,0.89287,6208.10408,6239.98340
TS21,0.99769,0.99768,3327.54375,3359.42307
TS22,0.97529,0.97519,5644.75823,5676.63755
TS23,0.99340,0.99338,4397.75424,4429.63356
TS24,0.99418,0.99415,3710.24331,3742.12263
TS25,0.81648,0.81574,10616.95891,10648.83823
TS26,0.77650,0.77560,9142.22341,9174.10273
TS27,0.45754,0.45536,12786.46479,12818.34411
TS28,0.95320,0.95301,1586.39515,1618.27447
TS29,0.26737,0.26442,12380.72380,12412.60312
TS30,0.97654,0.97644,6415.77189,6447.65122
TS31,-0.00101,-0.00503,13151.65441,13183.53373
TS32,0.83228,0.83161,9963.35275,9995.23207
TS33,0.56313,0.56138,10179.87539,10211.75471
TS34,0.44451,0.44228,9260.65714,9292.53646
TS35,0.94161,0.94138,9478.30444,9510.18376
TS36,0.86616,0.86563,11066.18723,11098.06655
TS37,0.50603,0.50405,9206.97600,9238.85532
TS38,0.99922,0.99921,1674.44754,1706.32686
TS39,-0.00000,-0.00402,8969.54948,9001.42880
TS40,0.10550,0.10191,11999.00485,12030.88417
TS41,0.83671,0.83605,1698.04525,1729.92457
TS42,-0.00001,-0.00403,8770.10016,8801.97948
TS43,0.99592,0.99591,3853.64059,3885.51991
TS44,0.83914,0.83849,8982.19501,9014.07434
TS45,0.99573,0.99572,3860.64950,3892.52882
TS46,0.79174,0.79090,11629.60862,11661.48794
TS47,0.43037,0.42808,11957.25416,11989.13349
TS48,0.87674,0.87624,11289.08714,11320.96646
TS49,0.83551,0.83485,4022.70017,4054.57949
TS50,0.99517,0.99515,3445.55720,3477.43652
TS51,0.83480,0.83414,7820.69628,7852.57560
TS52,0.93230,0.93203,9896.69717,9928.57649
TS53,0.99870,0.99870,1627.16488,1659.04420
TS54,-0.00000,-0.00402,12202.01927,12233.89859
TS55,-0.00004,-0.00406,10637.34333,10669.22266
TS56,0.86942,0.86889,4756.57220,4788.45153
TS57,0.96460,0.96446,4921.95512,4953.83444
TS58,0.98230,0.98222,5108.21896,5140.09829
TS59,0.53520,0.53333,8921.34581,8953.22514
TS60,-0.00028,-0.00430,11608.11725,11639.99657
TS61,-0.00000,-0.00402,7682.04706,7713.92639
TS62,0.99878,0.99877,2705.00919,2736.88851
TS63,0.76936,0.76844,10589.97552,10621.85484
TS64,0.48499,0.48292,12143.58607,12175.46540
TS65,0.95962,0.95945,3508.32156,3540.20088
TS66,-0.00000,-0.00402,12086.02450,12117.90382
TS67,0.01714,0.01319,12516.61949,12548.49882
TS68,0.99738,0.99737,4321.57755,4353.45687
TS69,0.88923,0.88878,6996.63160,7028.51092
TS70,0.83404,0.83337,7183.74612,7215.62545
TS71,-0.00008,-0.00410,13679.32933,13711.20865
TS72,0.78060,0.77972,8689.94145,8721.82077
TS73,0.48844,0.48639,13196.53061,13228.40993
TS74,0.83200,0.83132,9079.74202,9111.62134
TS75,0.83334,0.83268,11639.92558,11671.80490
TS76,-0.00128,-0.00530,9640.28235,9672.16168
TS77,0.84700,0.84638,4582.96321,4614.84253
TS78,0.73338,0.73231,10580.73940,10612.61872
TS79,0.50466,0.50267,12551.61919,12583.49851
TS80,0.97635,0.97626,7995.26176,8027.14108
TS81,0.34839,0.34577,10924.90491,10956.78423
TS82,-0.00000,-0.00402,6673.92396,6705.80329
TS83,-0.00002,-0.00404,10430.30662,10462.18594
TS84,0.48636,0.48430,5091.98170,5123.86102
TS85,0.91244,0.91209,9004.48657,9036.36589
TS86,0.98169,0.98162,5429.05988,5460.93921
TS87,0.89625,0.89584,6583.58561,6615.46493
TS88,-0.00328,-0.00731,12984.58724,13016.46657
TS89,0.99971,0.99971,121.52710,153.40643
TS90,0.85048,0.84988,8374.63969,8406.51901
TS91,0.60766,0.60608,8278.52947,8310.40879
TS92,0.87905,0.87857,8137.57906,8169.45839
TS93,0.75944,0.75847,11249.46203,11281.34135
TS94,0.95524,0.95506,9243.50099,9275.38032
TS95,0.59326,0.59163,8462.36465,8494.24397
TS96,0.39498,0.39254,10050.09428,10081.97360
TS97,0.97341,0.97330,5648.61235,5680.49168
TS98,0.60703,0.60545,12186.47472,12218.35404
TS99,-0.00000,-0.00402,10491.12874,10523.00806
TS100,0.79113,0.79029,9348.98307,9380.86239
