Time Series,R2,R2_Adj,AIC,BIC
TS1,0.98977,0.98973,6836.84630,6868.72562
TS2,0.55063,0.54882,12148.70547,12180.58479
TS3,0.99845,0.99845,4743.30262,4775.18194
TS4,0.99944,0.99944,3215.46464,3247.34397
TS5,0.97051,0.97039,9092.44600,9124.32533
TS6,0.97822,0.97813,6232.65719,6264.53651
TS7,0.99809,0.99808,2958.81704,2990.69636
TS8,0.96500,0.96486,7128.69740,7160.57673
TS9,0.98630,0.98625,7449.73614,7481.61546
TS10,0.99860,0.99859,1899.05805,1930.93737
TS11,0.99828,0.99827,4891.27899,4923.15831
TS12,0.89194,0.89150,8956.12541,8988.00473
TS13,0.96705,0.96691,7887.46623,7919.34555
TS14,0.99755,0.99754,4870.93118,4902.81050
TS15,0.99935,0.99935,1734.61495,1766.49427
TS16,0.95466,0.95448,10724.69703,10756.57635
TS17,0.92676,0.92646,8931.04178,8962.92110
TS18,0.99957,0.99957,2152.75058,2184.62991
TS19,0.99838,0.99837,4147.11401,4178.99333
TS20,0.98297,0.98290,4749.23429,4781.11361
TS21,0.99869,0.99869,3433.82639,3465.70571
TS22,0.99969,0.99969,2290.67764,2322.55696
TS23,0.99345,0.99342,4532.80312,4564.68244
TS24,0.99669,0.99667,2949.72334,2981.60267
TS25,0.94802,0.94781,8923.91125,8955.79058
TS26,0.89373,0.89331,10478.79519,10510.67451
TS27,0.96525,0.96511,9623.25523,9655.13455
TS28,0.99982,0.99982,-972.03329,-940.15397
TS29,0.63303,0.63156,11740.31258,11772.19190
TS30,0.83778,0.83712,11247.60673,11279.48605
TS31,0.17568,0.17236,13458.20875,13490.08807
TS32,0.96683,0.96670,7798.56635,7830.44567
TS33,0.93347,0.93320,8256.72923,8288.60856
TS34,0.95185,0.95166,9370.29513,9402.17445
TS35,0.99969,0.99969,2134.50588,2166.38520
TS36,0.90090,0.90050,10681.50330,10713.38262
TS37,0.95646,0.95629,9772.42607,9804.30540
TS38,0.99967,0.99967,658.99397,690.87329
TS39,0.99430,0.99427,3978.76748,4010.64680
TS40,0.90195,0.90156,11280.38787,11312.26719
TS41,0.92483,0.92453,4443.35001,4475.22933
TS42,-0.00067,-0.00469,9503.86909,9535.74841
TS43,0.99810,0.99809,4913.68486,4945.56418
TS44,0.98816,0.98811,3740.95842,3772.83775
TS45,0.99815,0.99815,2764.90231,2796.78163
TS46,0.89371,0.89328,11237.42685,11269.30618
TS47,0.47373,0.47162,11921.15189,11953.03121
TS48,0.93286,0.93259,10477.37488,10509.25421
TS49,0.99672,0.99671,3641.13894,3673.01826
TS50,0.99555,0.99554,3964.03161,3995.91093
TS51,0.99597,0.99595,3823.07126,3854.95058
TS52,0.93670,0.93644,9796.19702,9828.07634
TS53,0.99932,0.99932,1618.96607,1650.84539
TS54,-0.00001,-0.00402,13077.71429,13109.59361
TS55,-0.00064,-0.00466,12881.00255,12912.88187
TS56,0.98139,0.98131,1901.45172,1933.33104
TS57,0.96113,0.96097,8384.32457,8416.20389
TS58,0.98319,0.98312,5033.84239,5065.72172
TS59,0.98818,0.98813,5788.44536,5820.32469
TS60,-0.00029,-0.00431,11606.94407,11638.82339
TS61,-0.00000,-0.00402,12713.99073,12745.87005
TS62,0.99933,0.99933,2554.69719,2586.57651
TS63,0.33099,0.32830,13730.93951,13762.81883
TS64,0.48218,0.48010,12163.80652,12195.68584
TS65,0.99814,0.99814,-890.28871,-858.40939
TS66,0.96285,0.96270,9141.27106,9173.15038
TS67,0.91299,0.91265,11254.54044,11286.41976
TS68,0.99802,0.99801,4791.89037,4823.76969
TS69,0.92802,0.92773,7189.19104,7221.07036
TS70,0.96817,0.96804,7614.61483,7646.49415
TS71,0.06300,0.05924,13884.51256,13916.39188
TS72,0.94108,0.94084,8091.33918,8123.21850
TS73,0.94847,0.94826,11238.70509,11270.58441
TS74,0.97208,0.97197,7634.74585,7666.62517
TS75,0.97075,0.97063,9499.90336,9531.78269
TS76,0.84355,0.84292,11164.65022,11196.52954
TS77,0.99427,0.99424,5747.92124,5779.80057
TS78,0.73360,0.73253,10580.30189,10612.18121
TS79,0.80000,0.79920,11664.83065,11696.70997
TS80,0.99048,0.99044,6982.39743,7014.27675
TS81,0.98772,0.98767,7644.16665,7676.04598
TS82,0.73044,0.72936,11793.36625,11825.24558
TS83,0.06523,0.06148,14084.70583,14116.58515
TS84,0.93765,0.93740,7429.17388,7461.05320
TS85,0.97086,0.97074,7639.83752,7671.71684
TS86,0.99021,0.99017,4990.41053,5022.28985
TS87,0.99663,0.99662,2041.64338,2073.52270
TS88,-0.00066,-0.00468,13673.61786,13705.49718
TS89,0.99958,0.99958,871.65720,903.53652
TS90,0.96042,0.96026,9444.46305,9476.34237
TS91,0.95544,0.95526,9652.26869,9684.14801
TS92,0.99213,0.99210,4657.08924,4688.96856
TS93,0.96152,0.96137,8896.79087,8928.67019
TS94,0.95401,0.95382,9297.14298,9329.02230
TS95,0.96272,0.96257,5557.36499,5589.24431
TS96,0.99523,0.99521,6462.56438,6494.44370
TS97,0.99593,0.99591,2939.08696,2970.96628
TS98,0.99929,0.99929,4085.20245,4117.08177
TS99,0.72244,0.72132,11411.81598,11443.69531
TS100,0.95871,0.95855,7140.21097,7172.09029
