Time Series,R2,R2_Adj,AIC,BIC
TS1,0.98779,0.98774,7102.38335,7134.26267
TS2,0.55063,0.54882,12148.70547,12180.58479
TS3,0.99743,0.99742,5501.67247,5533.55179
TS4,0.99944,0.99944,3215.67132,3247.55065
TS5,0.96704,0.96690,9259.27868,9291.15800
TS6,0.97822,0.97813,6232.65719,6264.53651
TS7,0.99809,0.99808,2958.81704,2990.69636
TS8,0.96500,0.96486,7128.69740,7160.57673
TS9,0.98487,0.98481,7598.84800,7630.72732
TS10,0.99860,0.99859,1899.05805,1930.93737
TS11,0.99828,0.99827,4891.27899,4923.15831
TS12,0.88340,0.88293,9070.15949,9102.03881
TS13,0.96274,0.96259,8071.53362,8103.41294
TS14,0.99755,0.99754,4870.93118,4902.81050
TS15,0.99935,0.99935,1748.53868,1780.41800
TS16,0.95341,0.95322,10765.47021,10797.34953
TS17,0.91558,0.91524,9144.10182,9175.98114
TS18,0.99957,0.99957,2152.75058,2184.62991
TS19,0.99838,0.99837,4147.11401,4178.99333
TS20,0.98202,0.98195,4830.22683,4862.10615
TS21,0.99869,0.99869,3433.82639,3465.70571
TS22,0.99969,0.99969,2290.67764,2322.55696
TS23,0.99345,0.99342,4532.80312,4564.68244
TS24,0.99619,0.99617,3161.21947,3193.09879
TS25,0.94802,0.94781,8923.91125,8955.79058
TS26,0.88819,0.88774,10555.12217,10587.00150
TS27,0.76678,0.76584,12478.96958,12510.84890
TS28,0.99955,0.99955,398.17137,430.05069
TS29,0.62874,0.62725,11757.74324,11789.62256
TS30,0.63963,0.63819,12444.82107,12476.70039
TS31,0.17568,0.17236,13458.20875,13490.08807
TS32,0.96330,0.96315,7950.53582,7982.41514
TS33,0.93347,0.93320,8256.72923,8288.60856
TS34,0.95185,0.95166,9370.29513,9402.17445
TS35,0.99917,0.99916,3622.42811,3654.30744
TS36,0.90003,0.89963,10694.64712,10726.52644
TS37,0.94948,0.94927,9995.54921,10027.42853
TS38,0.99954,0.99954,1149.52746,1181.40678
TS39,0.99405,0.99403,4041.86686,4073.74618
TS40,0.90018,0.89978,11307.29220,11339.17152
TS41,0.87426,0.87376,5215.03013,5246.90946
TS42,-0.00067,-0.00469,9503.86909,9535.74841
TS43,0.99804,0.99803,4957.29355,4989.17287
TS44,0.98812,0.98807,3745.35407,3777.23339
TS45,0.99804,0.99804,2851.31660,2883.19592
TS46,0.89163,0.89120,11266.46035,11298.33967
TS47,-0.00013,-0.00415,12884.26256,12916.14189
TS48,0.93117,0.93089,10514.69904,10546.57836
TS49,0.99672,0.99671,3641.13894,3673.01826
TS50,0.99555,0.99554,3964.03161,3995.91093
TS51,0.99576,0.99575,3898.20357,3930.08290
TS52,0.93670,0.93644,9796.19702,9828.07634
TS53,0.99932,0.99932,1618.96607,1650.84539
TS54,-0.00001,-0.00402,13077.71429,13109.59361
TS55,-0.00064,-0.00466,12881.00255,12912.88187
TS56,0.98136,0.98129,1903.59989,1935.47921
TS57,0.96113,0.96097,8384.32457,8416.20389
TS58,0.98319,0.98312,5033.84239,5065.72172
TS59,0.98635,0.98630,6004.25467,6036.13399
TS60,-0.00029,-0.00431,11606.94407,11638.82339
TS61,-0.00000,-0.00402,12713.99073,12745.87005
TS62,0.99921,0.99921,2797.87685,2829.75617
TS63,0.33099,0.32830,13730.93951,13762.81883
TS64,0.48218,0.48010,12163.80652,12195.68584
TS65,0.99814,0.99814,-890.28871,-858.40939
TS66,0.95739,0.95722,9346.95797,9378.83729
TS67,0.91104,0.91068,11287.94737,11319.82669
TS68,0.99802,0.99801,4794.01990,4825.89922
TS69,0.91772,0.91739,7389.73929,7421.61861
TS70,0.96129,0.96114,7907.88367,7939.76299
TS71,0.05688,0.05309,13894.27277,13926.15209
TS72,0.93597,0.93572,8216.02545,8247.90477
TS73,0.94326,0.94303,11383.31277,11415.19210
TS74,0.96956,0.96944,7764.40658,7796.28591
TS75,0.96075,0.96059,9941.02004,9972.89936
TS76,0.61093,0.60937,12531.21097,12563.09029
TS77,0.99427,0.99424,5747.92124,5779.80057
TS78,0.73360,0.73253,10580.30189,10612.18121
TS79,-0.00036,-0.00438,14079.52604,14111.40536
TS80,0.98589,0.98583,7573.05990,7604.93922
TS81,0.98655,0.98649,7780.95367,7812.83299
TS82,0.73044,0.72936,11793.36625,11825.24558
TS83,0.06523,0.06148,14084.70583,14116.58515
TS84,0.93765,0.93740,7429.17388,7461.05320
TS85,0.96511,0.96497,7909.89776,7941.77708
TS86,0.99021,0.99017,4990.41053,5022.28985
TS87,0.99663,0.99662,2041.64338,2073.52270
TS88,-0.00066,-0.00468,13673.61786,13705.49718
TS89,0.99958,0.99958,871.65720,903.53652
TS90,0.95387,0.95369,9674.01662,9705.89594
TS91,0.94807,0.94786,9881.82576,9913.70508
TS92,0.99212,0.99209,4660.01914,4691.89846
TS93,0.96152,0.96137,8896.79087,8928.67019
TS94,0.94875,0.94854,9459.62858,9491.50790
TS95,0.96272,0.96257,5557.36499,5589.24431
TS96,0.99523,0.99521,6462.72847,6494.60779
TS97,0.99388,0.99386,3549.55482,3581.43414
TS98,0.99926,0.99926,4136.15235,4168.03167
TS99,0.72124,0.72012,11418.24639,11450.12571
TS100,0.95871,0.95855,7140.21097,7172.09029
