Time Series,Metric,alpha,init,IMFs
TS1,R2,500,0,4 - 10
TS1,R2_Adj,500,0,4 - 10
TS1,AIC,500,0,4 - 10
TS1,BIC,500,0,4 - 10
TS2,R2,500,1,5 - 10
TS2,R2_Adj,500,1,5 - 10
TS2,AIC,500,1,5 - 10
TS2,BIC,500,1,5 - 10
TS3,R2,500,1,2 - 9
TS3,R2_Adj,500,1,2 - 9
TS3,AIC,500,1,2 - 9
TS3,BIC,500,1,2 - 9
TS4,R2,27500,1,1 - 10
TS4,R2_Adj,27500,1,1 - 10
TS4,AIC,27500,1,1 - 10
TS4,BIC,27500,1,1 - 10
TS5,R2,300,2,2 - 6
TS5,R2_Adj,300,2,2 - 6
TS5,AIC,300,2,2 - 6
TS5,BIC,300,2,2 - 6
TS6,R2,8000,2,2 - 2
TS6,R2_Adj,8000,2,2 - 2
TS6,AIC,8000,2,2 - 2
TS6,BIC,8000,2,2 - 2
TS7,R2,12500,2,2 - 6
TS7,R2_Adj,12500,2,2 - 6
TS7,AIC,12500,2,2 - 6
TS7,BIC,12500,2,2 - 6
TS8,R2,50000,1,2 - 2
TS8,R2_Adj,50000,1,2 - 2
TS8,AIC,50000,1,2 - 2
TS8,BIC,50000,1,2 - 2
TS9,R2,1,0,2 - 2
TS9,R2_Adj,1,0,2 - 2
TS9,AIC,1,0,2 - 2
TS9,BIC,1,0,2 - 2
TS10,R2,500,0,2 - 6
TS10,R2_Adj,500,0,2 - 6
TS10,AIC,500,0,2 - 6
TS10,BIC,500,0,2 - 6
TS11,R2,100,1,2 - 9
TS11,R2_Adj,100,1,2 - 9
TS11,AIC,100,1,2 - 9
TS11,BIC,100,1,2 - 9
TS12,R2,1,1,2 - 10
TS12,R2_Adj,1,1,2 - 10
TS12,AIC,1,1,2 - 10
TS12,BIC,1,1,2 - 10
TS13,R2,500,2,2 - 10
TS13,R2_Adj,500,2,2 - 10
TS13,AIC,500,2,2 - 10
TS13,BIC,500,2,2 - 10
TS14,R2,50,0,2 - 4
TS14,R2_Adj,50,0,2 - 4
TS14,AIC,50,0,2 - 4
TS14,BIC,50,0,2 - 4
TS15,R2,1000,2,2 - 7
TS15,R2_Adj,1000,2,2 - 7
TS15,AIC,1000,2,2 - 7
TS15,BIC,1000,2,2 - 7
TS16,R2,1,0,2 - 5
TS16,R2_Adj,1,0,2 - 5
TS16,AIC,1,0,2 - 5
TS16,BIC,1,0,2 - 5
TS17,R2,1,1,2 - 10
TS17,R2_Adj,1,1,2 - 10
TS17,AIC,1,1,2 - 10
TS17,BIC,1,1,2 - 10
TS18,R2,2500,2,1 - 8
TS18,R2_Adj,2500,2,1 - 8
TS18,AIC,2500,2,1 - 8
TS18,BIC,2500,2,1 - 8
TS19,R2,15000,2,2 - 2
