Time Series,R2,R2_Adj,AIC,BIC
TS1,1.00000,1.00000,2437.65945,2469.53877
TS2,0.50520,0.50321,13057.23844,13089.11777
TS3,0.99991,0.99991,12309.87591,12341.75523
TS4,0.99150,0.99146,4004.68262,4036.56194
TS5,0.99942,0.99942,13830.29756,13862.17689
TS6,0.99885,0.99884,1692.06752,1723.94684
TS7,0.99996,0.99996,5708.83431,5740.71363
TS8,0.99917,0.99917,-801.12911,-769.24979
TS9,0.99988,0.99988,10833.02608,10864.90540
TS10,0.99967,0.99967,13202.99873,13234.87805
TS11,0.99873,0.99873,13206.28138,13238.16071
TS12,0.79317,0.79234,2900.62132,2932.50064
TS13,0.89531,0.89489,6063.10604,6094.98537
TS14,0.99991,0.99991,7398.09370,7429.97302
TS15,0.90280,0.90241,6782.23183,6814.11115
TS16,0.99999,0.99999,4530.57650,4562.45582
TS17,0.99998,0.99998,10976.46865,11008.34797
TS18,0.99994,0.99994,12010.23025,12042.10957
TS19,0.99208,0.99204,3484.12952,3516.00885
TS20,0.93482,0.93456,5132.42247,5164.30179
TS21,0.96026,0.96010,7767.58259,7799.46192
TS22,-0.00002,-0.00404,6745.83545,6777.71477
TS23,0.99998,0.99998,10869.35141,10901.23073
TS24,0.98685,0.98680,-2234.95579,-2203.07646
TS25,0.19387,0.19063,1660.84200,1692.72133
TS26,-0.00338,-0.00741,9341.86208,9373.74140
TS27,0.99984,0.99984,8442.95554,8474.83486
TS28,0.99889,0.99889,12677.99937,12709.87869
TS29,0.99877,0.99877,4035.90973,4067.78905
TS30,0.99995,0.99995,11060.98250,11092.86183
TS31,0.99539,0.99537,3117.65684,3149.53616
TS32,0.99989,0.99989,11864.43517,11896.31449
TS33,0.99998,0.99998,9922.15688,9954.03621
TS34,0.99726,0.99725,2026.86948,2058.74881
TS35,1.00000,1.00000,2798.05278,2829.93211
TS36,0.98336,0.98329,7448.96296,7480.84228
TS37,0.99196,0.99193,1498.50062,1530.37994
TS38,0.99839,0.99839,-148.33204,-116.45272
TS39,0.99471,0.99469,3586.53963,3618.41895
TS40,0.22291,0.21978,13109.41015,13141.28947
TS41,0.99482,0.99479,3904.21616,3936.09549
TS42,0.97785,0.97776,8587.09236,8618.97168
TS43,0.99651,0.99649,2758.38298,2790.26230
TS44,0.99993,0.99993,11947.47174,11979.35107
TS45,0.99920,0.99920,7711.65079,7743.53011
TS46,0.95227,0.95208,6760.62792,6792.50724
TS47,0.99997,0.99997,9509.91897,9541.79829
TS48,0.99993,0.99993,13183.69359,13215.57291
TS49,0.99997,0.99997,12292.11480,12323.99412
TS50,0.99993,0.99993,13049.94193,13081.82125
TS51,0.62685,0.62535,11868.91935,11900.79868
TS52,0.99998,0.99998,8522.34386,8554.22319
TS53,0.99976,0.99976,12000.01772,12031.89704
TS54,0.99061,0.99057,3140.20553,3172.08486
TS55,0.99984,0.99984,14274.56527,14306.44460
TS56,0.99998,0.99998,7702.17020,7734.04952
TS57,0.99941,0.99940,1189.09531,1220.97463
TS58,0.99757,0.99756,15121.94559,15153.82491
TS59,0.99996,0.99996,12467.23632,12499.11564
TS60,0.99902,0.99902,-117.66869,-85.78937
TS61,0.21423,0.21107,2207.88868,2239.76800
TS62,0.99985,0.99985,10454.17960,10486.05892
TS63,-0.00000,-0.00402,5632.12428,5664.00360
TS64,0.95445,0.95427,7756.50037,7788.37969
TS65,0.99960,0.99960,8017.07596,8048.95528
TS66,0.99996,0.99996,9803.59468,9835.47401
TS67,0.99260,0.99257,1829.84442,1861.72374
TS68,0.98867,0.98862,3443.76553,3475.64485
TS69,0.99994,0.99994,10575.39239,10607.27171
TS70,0.94622,0.94601,8323.23287,8355.11219
TS71,0.99409,0.99406,2429.32872,2461.20805
TS72,0.86930,0.86877,10134.70585,10166.58517
TS73,0.99998,0.99998,8283.54481,8315.42413
TS74,0.99946,0.99946,7371.70845,7403.58777
TS75,1.00000,1.00000,1418.00808,1449.88740
TS76,0.99987,0.99986,10993.76898,11025.64830
TS77,0.99845,0.99844,3667.67352,3699.55284
TS78,0.99997,0.99997,12060.04869,12091.92802
TS79,0.99993,0.99993,13116.18304,13148.06236
TS80,0.98438,0.98432,5507.36923,5539.24855
TS81,1.00000,1.00000,4850.22704,4882.10636
TS82,0.99679,0.99678,4808.79943,4840.67875
TS83,0.98846,0.98842,2590.03912,2621.91844
TS84,0.99988,0.99988,12823.59071,12855.47004
TS85,0.98717,0.98712,4626.48342,4658.36274
TS86,0.99998,0.99998,10932.22066,10964.09998
TS87,0.99996,0.99996,10962.45898,10994.33830
TS88,0.96988,0.96976,5491.21632,5523.09564
TS89,0.99975,0.99974,13127.90398,13159.78330
TS90,0.99968,0.99968,15697.32363,15729.20295
TS91,0.99999,0.99999,10348.28271,10380.16204
TS92,0.99972,0.99972,1051.33233,1083.21165
TS93,0.99995,0.99995,12325.29019,12357.16952
TS94,1.00000,1.00000,6230.62129,6262.50061
TS95,0.98311,0.98304,13371.14072,13403.02004
TS96,0.99988,0.99987,13068.30202,13100.18134
TS97,0.99997,0.99997,6173.52128,6205.40061
TS98,0.99995,0.99995,8361.90705,8393.78638
TS99,0.90755,0.90718,2136.76037,2168.63969
TS100,0.93284,0.93257,8827.23366,8859.11298
