Time Series,R2,R2_Adj,AIC,BIC
TS1,1.00000,1.00000,2437.65945,2469.53877
TS2,0.50520,0.50321,13057.23844,13089.11777
TS3,0.99987,0.99987,12788.60926,12820.48858
TS4,0.99150,0.99146,4004.68262,4036.56194
TS5,0.99942,0.99942,13830.29756,13862.17689
TS6,0.99881,0.99880,1742.53295,1774.41227
TS7,0.99983,0.99983,7970.53945,8002.41877
TS8,0.99885,0.99885,-317.82232,-285.94300
TS9,0.99988,0.99988,10836.60167,10868.48099
TS10,0.99967,0.99967,13202.99873,13234.87805
TS11,0.97965,0.97957,17372.29257,17404.17190
TS12,0.79317,0.79234,2900.62132,2932.50064
TS13,0.88521,0.88475,6201.19253,6233.07185
TS14,0.99984,0.99984,8289.72561,8321.60493
TS15,0.89959,0.89919,6830.99850,6862.87782
TS16,0.99995,0.99995,7335.05121,7366.93053
TS17,0.99998,0.99998,10994.74924,11026.62856
TS18,0.99992,0.99992,12468.78812,12500.66744
TS19,0.99208,0.99204,3484.12952,3516.00885
TS20,0.93482,0.93456,5132.42247,5164.30179
TS21,0.96026,0.96010,7767.58259,7799.46192
TS22,-0.00002,-0.00404,6745.83545,6777.71477
TS23,0.99993,0.99993,12449.75149,12481.63081
TS24,0.98418,0.98412,-1958.10126,-1926.22194
TS25,0.19387,0.19063,1660.84200,1692.72133
TS26,-0.00338,-0.00741,9341.86208,9373.74140
TS27,0.99980,0.99980,8826.18245,8858.06177
TS28,0.99875,0.99874,12863.79602,12895.67534
TS29,0.99875,0.99875,4062.76526,4094.64458
TS30,0.99978,0.99978,13185.89741,13217.77673
TS31,0.99498,0.99496,3247.58290,3279.46222
TS32,0.99985,0.99985,12280.23718,12312.11651
TS33,0.99990,0.99990,12083.06369,12114.94301
TS34,0.99726,0.99724,2027.31199,2059.19131
TS35,1.00000,1.00000,2799.14363,2831.02295
TS36,0.98318,0.98312,7464.39706,7496.27638
TS37,0.99196,0.99193,1498.50062,1530.37994
TS38,0.99839,0.99839,-148.32058,-116.44126
TS39,0.99471,0.99469,3586.53963,3618.41895
TS40,-0.00005,-0.00407,13487.77281,13519.65213
TS41,0.87857,0.87809,8634.53565,8666.41498
TS42,0.97364,0.97353,8848.27026,8880.14958
TS43,0.99595,0.99594,2978.76818,3010.64750
TS44,0.99972,0.99972,14033.10545,14064.98477
TS45,0.99920,0.99920,7711.65079,7743.53011
TS46,0.94381,0.94359,7005.19878,7037.07810
TS47,0.99985,0.99985,12156.38636,12188.26568
TS48,0.99988,0.99988,13927.39595,13959.27527
TS49,0.99997,0.99997,12292.14714,12324.02646
TS50,0.99991,0.99991,13363.22232,13395.10165
TS51,-0.00007,-0.00409,13347.68574,13379.56506
TS52,0.99998,0.99998,8548.41476,8580.29408
TS53,0.99952,0.99952,13060.19563,13092.07495
TS54,0.98240,0.98233,4083.14404,4115.02336
TS55,0.99976,0.99976,14891.27543,14923.15476
TS56,0.99995,0.99995,9007.71279,9039.59211
TS57,0.99920,0.99920,1639.63686,1671.51618
TS58,0.99725,0.99724,15308.22826,15340.10759
TS59,0.99996,0.99996,12467.23648,12499.11580
TS60,0.99897,0.99896,-34.13208,-2.25276
TS61,0.09481,0.09118,2420.10010,2451.97942
TS62,0.99985,0.99985,10489.97221,10521.85154
TS63,-0.00000,-0.00402,5632.12428,5664.00360
TS64,0.95179,0.95160,7841.52713,7873.40646
TS65,0.99941,0.99941,8624.41354,8656.29286
TS66,0.99981,0.99981,12224.88755,12256.76687
TS67,0.99260,0.99257,1829.84442,1861.72374
TS68,0.98723,0.98718,3623.10331,3654.98263
TS69,0.99994,0.99994,10636.49374,10668.37306
TS70,0.94141,0.94117,8451.93800,8483.81732
TS71,0.99409,0.99406,2429.32872,2461.20805
TS72,0.86846,0.86794,10144.21045,10176.08977
TS73,0.99990,0.99990,10930.32672,10962.20604
TS74,0.99793,0.99793,9395.40665,9427.28597
TS75,1.00000,1.00000,1418.00808,1449.88740
TS76,0.99963,0.99963,12507.08518,12538.96450
TS77,0.99845,0.99844,3667.76343,3699.64275
TS78,0.99997,0.99997,12060.04927,12091.92859
TS79,0.99976,0.99976,15052.43983,15084.31916
TS80,0.98161,0.98153,5752.66850,5784.54782
TS81,1.00000,1.00000,4850.24119,4882.12051
TS82,0.99678,0.99676,4814.46468,4846.34400
TS83,0.83753,0.83687,6557.46636,6589.34569
TS84,0.99967,0.99967,14378.83088,14410.71020
TS85,0.98456,0.98450,4904.70218,4936.58150
TS86,0.99991,0.99990,13358.82325,13390.70258
TS87,0.99977,0.99977,13563.85136,13595.73068
TS88,0.96988,0.96976,5491.21632,5523.09564
TS89,0.99790,0.99789,16292.64249,16324.52181
TS90,0.99968,0.99968,15697.32363,15729.20295
TS91,0.99995,0.99995,12607.81214,12639.69147
TS92,0.99972,0.99972,1051.34568,1083.22501
TS93,0.99976,0.99976,14732.45794,14764.33726
TS94,1.00000,1.00000,6231.06580,6262.94512
TS95,0.96468,0.96454,14477.99266,14509.87198
TS96,0.99956,0.99956,14958.39413,14990.27345
TS97,0.99990,0.99990,7985.10308,8016.98241
TS98,0.99972,0.99972,10877.99338,10909.87270
TS99,0.90755,0.90718,2136.76037,2168.63969
TS100,0.92700,0.92671,8952.31691,8984.19623
