Time Series,Metric,alpha,init,IMFs
TS1,R2,0,0,1 - 2
TS1,R2_Adj,0,0,1 - 2
TS1,AIC,0,0,1 - 2
TS1,BIC,0,0,1 - 2
TS2,R2,0,0,2 - 2
TS2,R2_Adj,0,0,2 - 2
TS2,AIC,0,0,3 - 3
TS2,BIC,0,0,3 - 3
TS3,R2,0,0,1 - 2
TS3,R2_Adj,0,0,1 - 2
TS3,AIC,0,0,1 - 2
TS3,BIC,0,0,1 - 2
TS4,R2,0,0,2 - 2
TS4,R2_Adj,0,0,2 - 2
TS4,AIC,0,0,2 - 2
TS4,BIC,0,0,2 - 2
TS5,R2,1000,0,2 - 10
TS5,R2_Adj,1000,0,2 - 10
TS5,AIC,1000,0,2 - 10
TS5,BIC,1000,0,2 - 10
TS6,R2,0,0,2 - 2
TS6,R2_Adj,0,0,2 - 2
TS6,AIC,0,0,2 - 2
TS6,BIC,0,0,2 - 2
TS7,R2,500,0,2 - 10
TS7,R2_Adj,500,0,2 - 10
TS7,AIC,500,0,2 - 10
TS7,BIC,500,0,2 - 10
TS8,R2,0,0,2 - 2
TS8,R2_Adj,0,0,2 - 2
TS8,AIC,0,0,2 - 2
TS8,BIC,0,0,2 - 2
TS9,R2,2500,0,1 - 10
TS9,R2_Adj,2500,0,1 - 10
TS9,AIC,2500,0,1 - 10
TS9,BIC,2500,0,1 - 10
TS10,R2,0,0,2 - 2
TS10,R2_Adj,0,0,2 - 2
TS10,AIC,0,0,2 - 2
TS10,BIC,0,0,2 - 2
TS11,R2,50000,1,2 - 10
TS11,R2_Adj,50000,1,2 - 10
TS11,AIC,50000,1,2 - 10
TS11,BIC,50000,1,2 - 10
TS12,R2,0,0,2 - 2
TS12,R2_Adj,0,0,2 - 2
TS12,AIC,0,0,2 - 2
TS12,BIC,0,0,2 - 2
TS13,R2,0,0,2 - 2
TS13,R2_Adj,0,0,2 - 2
TS13,AIC,0,0,2 - 2
TS13,BIC,0,0,2 - 2
TS14,R2,1000,2,1 - 9
TS14,R2_Adj,1000,2,1 - 9
TS14,AIC,1000,2,1 - 9
TS14,BIC,1000,2,1 - 9
TS15,R2,0,0,2 - 2
TS15,R2_Adj,0,0,2 - 2
TS15,AIC,0,0,2 - 2
TS15,BIC,0,0,2 - 2
TS16,R2,500,0,2 - 10
TS16,R2_Adj,500,0,2 - 10
TS16,AIC,500,0,2 - 10
TS16,BIC,500,0,2 - 10
TS17,R2,0,0,1 - 2
TS17,R2_Adj,0,0,1 - 2
TS17,AIC,0,0,1 - 2
