Time,Trend,Seasonal,Noise,Combined
1,-2195.135737455368,-67.56880564770108,-3.5346189777683317,-2266.2391620808376
2,-2195.135737455368,-29.994330337564858,-7.032653257248374,-2232.1627210501815
3,-2195.135737455368,-117.3450600682372,-4.868682818859038,-2317.349480342464
4,-2195.135737455368,224.2197457274648,2.5455498173105298,-1968.3704419105927
5,-2195.135737455368,-68.38417878918044,5.805541645340665,-2257.714374599208
6,-2195.135737455368,-59.54205928004953,8.392100892945471,-2246.2856958424723
7,-2195.135737455368,-0.7207831855343123,2.1143925286203533,-2193.742128112282
8,-2195.135737455368,66.13225228291648,-1.7597994251454623,-2130.7632845975972
9,-2195.135737455368,-26.899874179742362,7.52123893561912,-2214.514372699491
10,-2195.135737455368,-104.31943214897868,10.637262459690062,-2288.8179071446566
11,-2195.135737455368,189.11921142545538,8.396685673299837,-1997.619840356613
12,-2195.135737455368,-71.58833848535825,-0.08084095057479351,-2266.804916891301
13,-2195.135737455368,-31.31138392274291,-6.2152886402517735,-2232.662410018363
14,-2195.135737455368,-114.78189888249051,-16.36246114912961,-2326.2800974869883
15,-2195.135737455368,219.00714510043193,-12.500649764880146,-1988.6292421198164
16,-2195.135737455368,-65.51877164686115,-11.709485416127016,-2272.3639945183563
17,-2195.135737455368,-61.84954256360975,-15.863905556697258,-2272.849185575675
18,-2195.135737455368,10.762578546938176,-16.720329327374564,-2201.0934882358047
19,-2195.135737455368,54.623254479665505,-13.603753199765647,-2154.1162361754687
20,-2195.135737455368,-25.766301576719826,-13.408699775840335,-2234.3107388079284
21,-2195.135737455368,-107.0062309677792,-14.158850460946914,-2316.300818884094
22,-2195.135737455368,197.58425677920155,-18.654337501679368,-2016.205818177846
23,-2195.135737455368,-74.98414180127067,-19.251384958771045,-2289.37126421541
24,-2195.135737455368,-32.70741598414964,-23.015024494660206,-2250.858177934178
25,-2195.135737455368,-111.65139819174934,-36.02019584446934,-2342.807331491587
26,-2195.135737455368,212.9725150808675,-36.33149137707304,-2018.4947137515737
27,-2195.135737455368,-62.55376976030473,-42.59663211030515,-2300.286139325978
28,-2195.135737455368,-64.22635436516852,-47.517335944493766,-2306.8794277650304
29,-2195.135737455368,22.543295267778042,-47.9833254727989,-2220.575767660389
30,-2195.135737455368,43.298095846304975,-36.60245987814997,-2188.4401014872133
31,-2195.135737455368,-24.847023667564955,-25.702689255285513,-2245.6854503782183
32,-2195.135737455368,-109.57525448200026,-31.123688971250058,-2335.8346809086183
33,-2195.135737455368,205.33154481170536,-37.12025582864397,-2026.924448472307
34,-2195.135737455368,-77.7674500764193,-33.56230696937109,-2306.4654945011584
35,-2195.135737455368,-34.17529787636954,-29.652535829375385,-2258.963571161113
36,-2195.135737455368,-107.93712499939157,-29.632810858377702,-2332.705673313137
37,-2195.135737455368,206.15659733469414,-23.8155915491926,-2012.7947316698665
38,-2195.135737455368,-59.52617326929626,-20.251144919607015,-2274.9130556442715
39,-2195.135737455368,-66.67354762126607,-16.369322473177007,-2278.178607549811
40,-2195.135737455368,34.56763211841436,-17.19847110657565,-2177.7665764435296
41,-2195.135737455368,32.21639689427823,-20.116940914905495,-2183.0362814759956
42,-2195.135737455368,-24.139455772296532,-14.90133460554369,-2234.176527833208
43,-2195.135737455368,-111.99869982164796,-18.72001232500373,-2325.85444960202
44,-2195.135737455368,212.31423577137178,-13.036027910848343,-1995.8575295948447
45,-2195.135737455368,-79.95379331000294,-10.309138079396625,-2285.3986688447676
46,-2195.135737455368,-35.708935311189485,-14.181242530016995,-2245.0259152965746
47,-2195.135737455368,-103.62610733712758,-10.121890722353253,-2308.883735514849
48,-2195.135737455368,198.60495255838734,-28.09245922764838,-2024.623244124629
49,-2195.135737455368,-56.471406289556484,-28.07189345330935,-2279.679037198234
50,-2195.135737455368,-69.1912562133741,-28.994915904798916,-2293.321909573541
51,-2195.135737455368,46.7786742301806,-36.098935230370024,-2184.4559984555576
52,-2195.135737455368,21.43462343907449,-34.52025856418391,-2208.2213725804777
53,-2195.135737455368,-23.639170106731985,-40.68555518649118,-2259.460462748591
54,-2195.135737455368,-114.2473247462022,-44.35579106778392,-2353.7388532693544
55,-2195.135737455368,218.49004097852173,-39.53689814485131,-2016.1825946216977
56,-2195.135737455368,-81.56272527152434,-46.712687741029804,-2323.411150467922
57,-2195.135737455368,-37.3033126245785,-55.59951677014563,-2288.0385668500926
58,-2195.135737455368,-98.70910881771506,-59.79056354916707,-2353.63540982225
59,-2195.135737455368,190.3675889681887,-60.459961466299326,-2065.228109953479
60,-2195.135737455368,-53.42305336402627,-59.639782940265725,-2308.19857375966
61,-2195.135737455368,-71.77849846411279,-49.97536135907658,-2316.8895972785576
62,-2195.135737455368,59.11670012271438,-60.371305426120394,-2196.390342758774
63,-2195.135737455368,11.005700470465314,-58.48728520426615,-2242.617322189169
64,-2195.135737455368,-23.34010680184528,-53.44707179831428,-2271.922916055528
65,-2195.135737455368,-116.29066539487367,-49.28902225109244,-2360.715425101334
66,-2195.135737455368,223.82158054198985,-55.40296721886375,-2026.7171241322421
67,-2195.135737455368,-82.61752159040381,-67.48099914409386,-2345.2342581898656
68,-2195.135737455368,-38.954510650832304,-53.41003470459794,-2287.500282810798
69,-2195.135737455368,-93.18087592585798,-50.175023147672746,-2338.4916365288987
70,-2195.135737455368,181.49855477551102,-60.64575396690695,-2074.282936646764
71,-2195.135737455368,-50.41262604923061,-67.29931088341151,-2312.8476743880105
72,-2195.135737455368,-74.43299005283991,-64.52681274167846,-2334.0955402498867
73,-2195.135737455368,71.5195875157407,-71.60142941398432,-2195.217579353612
74,-2195.135737455368,0.9786627713935836,-80.21195075361456,-2274.3690254375892
75,-2195.135737455368,-23.23479589473013,-82.29549938429042,-2300.666032734389
76,-2195.135737455368,-118.09728097418153,-69.84983978213245,-2383.082858211682
77,-2195.135737455368,228.27670200903088,-81.75871577532182,-2048.617751221659
78,-2195.135737455368,-83.14485131914157,-72.20880553426849,-2350.489394308778
79,-2195.135737455368,-40.659698167551625,-65.12861198672022,-2300.92404760964
80,-2195.135737455368,-87.04035472612809,-64.95505085860394,-2347.1311430401
81,-2195.135737455368,172.05549848419176,-53.93638465186432,-2077.0166236230407
82,-2195.135737455368,-47.4693613636105,-55.19416820002552,-2297.799267019004
83,-2195.135737455368,-77.15096952873391,-48.74205723001386,-2321.028764214116
84,-2195.135737455368,83.9232481656755,-46.24041008610091,-2157.4528993757935
85,-2195.135737455368,-8.601654894077065,-50.069796905378375,-2253.8071892548237
86,-2195.135737455368,-23.314586899559426,-45.99218834898951,-2264.442512703917
87,-2195.135737455368,-119.63502327533837,-49.80832022419112,-2364.5790809548976
88,-2195.135737455368,231.82875679772621,-46.84825115334804,-2010.1552318109898
89,-2195.135737455368,-83.17442582590728,-52.203399272371726,-2330.5135625536473
90,-2195.135737455368,-42.41709724998641,-45.886951879492166,-2283.439786584847
