Time Series,R2,R2_Adj,AIC,BIC
TS1,0.15601,0.15262,6565.63100,6597.51032
TS2,0.48045,0.47837,10668.69290,10700.57223
TS3,-0.03915,-0.04333,91.31408,123.19340
TS4,0.13065,0.12716,1309.48135,1341.36067
TS5,-2.12576,-2.13832,15034.64553,15066.52485
TS6,-0.61941,-0.62592,11516.27649,11548.15582
TS7,0.00031,-0.00370,5725.97017,5757.84949
TS8,0.18386,0.18058,-746.15741,-714.27809
TS9,0.12191,0.11838,-3020.24513,-2988.36581
TS10,-0.71024,-0.71711,10192.86256,10224.74188
TS11,0.00189,-0.00212,4327.11022,4358.98954
TS12,0.56116,0.55940,3391.24412,3423.12344
TS13,0.50889,0.50692,-44.04167,-12.16235
TS14,-0.02019,-0.02429,13173.78143,13205.66075
TS15,0.00041,-0.00361,445.87557,477.75489
TS16,0.84161,0.84097,3996.92182,4028.80114
TS17,0.27362,0.27070,13540.49403,13572.37336
TS18,-2.14483,-2.15747,3325.72435,3357.60367
TS19,0.46665,0.46451,2158.38737,2190.26669
TS20,0.65763,0.65626,5197.75246,5229.63178
TS21,0.77127,0.77036,1758.19697,1790.07629
TS22,0.64836,0.64694,1674.48770,1706.36702
TS23,-0.22583,-0.23076,5785.66373,5817.54305
TS24,-1.23533,-1.24431,2552.63961,2584.51894
TS25,0.41407,0.41171,1846.28477,1878.16409
TS26,0.71984,0.71871,3883.61454,3915.49387
TS27,-0.51200,-0.51808,7197.98733,7229.86666
TS28,0.93460,0.93433,-4448.55668,-4416.67736
TS29,-0.37572,-0.38125,11699.04777,11730.92709
TS30,0.82521,0.82450,-150.75156,-118.87224
TS31,0.25659,0.25361,-763.24132,-731.36200
TS32,0.87568,0.87518,2464.13452,2496.01385
TS33,0.30767,0.30489,9878.58850,9910.46782
TS34,-0.34195,-0.34735,10243.44171,10275.32104
TS35,-0.60274,-0.60918,-2492.43279,-2460.55347
TS36,0.99514,0.99512,-2348.06446,-2316.18514
TS37,0.01741,0.01346,7110.80162,7142.68094
TS38,0.99706,0.99705,-4174.24869,-4142.36937
TS39,-0.14879,-0.15341,8331.91568,8363.79501
TS40,0.41190,0.40954,10184.24253,10216.12185
TS41,0.25077,0.24776,2305.09452,2336.97385
TS42,0.76064,0.75968,993.06367,1024.94300
TS43,-2.19651,-2.20935,435.67507,467.55439
TS44,0.83331,0.83265,3509.37463,3541.25395
TS45,0.96569,0.96556,-1314.40607,-1282.52674
TS46,-0.27304,-0.27816,8759.74787,8791.62720
TS47,-0.08787,-0.09224,4507.67585,4539.55517
TS48,-0.00015,-0.00417,5234.86365,5266.74298
TS49,0.69799,0.69678,8328.68556,8360.56488
TS50,-0.60560,-0.61205,3810.04539,3841.92471
TS51,-0.00627,-0.01031,14183.43585,14215.31517
TS52,0.65270,0.65130,3973.17650,4005.05582
TS53,0.88246,0.88199,3207.62641,3239.50573
TS54,0.73480,0.73374,2836.44204,2868.32136
TS55,0.66489,0.66354,9629.13724,9661.01657
TS56,0.82578,0.82508,2295.51438,2327.39371
TS57,0.56868,0.56695,881.54484,913.42416
TS58,-0.78924,-0.79643,4342.06585,4373.94517
TS59,-6.74544,-6.77657,17209.20164,17241.08096
TS60,0.14764,0.14422,-2279.91838,-2248.03906
TS61,-0.05307,-0.05730,14346.40577,14378.28510
TS62,0.62341,0.62190,4766.99710,4798.87642
TS63,0.87033,0.86981,3306.87285,3338.75217
TS64,-0.00631,-0.01035,1730.99324,1762.87257
TS65,0.75220,0.75120,1240.60008,1272.47940
TS66,-0.64859,-0.65522,11120.32354,11152.20287
TS67,-2.20368,-2.21656,14183.45129,14215.33061
TS68,-0.44098,-0.44677,10426.04193,10457.92125
TS69,0.00001,-0.00401,1338.25877,1370.13809
TS70,0.01231,0.00834,6134.33747,6166.21679
TS71,-0.67659,-0.68333,13376.36571,13408.24503
TS72,-2.66072,-2.67543,10829.00755,10860.88687
TS73,-0.60351,-0.60995,2686.78826,2718.66759
TS74,0.67502,0.67372,4249.18571,4281.06503
TS75,0.52999,0.52810,9502.23066,9534.10998
TS76,-0.57409,-0.58042,-1727.80481,-1695.92549
TS77,0.18691,0.18364,6567.46721,6599.34654
TS78,-0.49190,-0.49790,-1105.69066,-1073.81133
TS79,0.62724,0.62574,-2143.14199,-2111.26267
TS80,-0.84653,-0.85395,7546.49027,7578.36959
TS81,0.50407,0.50208,-1539.65323,-1507.77391
TS82,0.64348,0.64205,8687.99680,8719.87612
TS83,-0.29555,-0.30076,14707.23280,14739.11213
TS84,-0.48596,-0.49193,2773.61361,2805.49293
TS85,0.25180,0.24880,2940.27270,2972.15202
TS86,0.05108,0.04727,6900.49408,6932.37340
TS87,0.55612,0.55433,3977.31481,4009.19413
TS88,0.28272,0.27984,830.02396,861.90328
TS89,0.32930,0.32660,3805.20585,3837.08517
TS90,-0.27186,-0.27697,12443.52021,12475.39953
TS91,0.45637,0.45418,653.19181,685.07113
TS92,-0.00131,-0.00534,6224.71853,6256.59785
TS93,0.04047,0.03661,6435.99615,6467.87547
TS94,0.56703,0.56529,1135.76378,1167.64310
TS95,-2.52437,-2.53853,38.96523,70.84456
TS96,0.44412,0.44188,11197.73209,11229.61142
TS97,-2.24728,-2.26033,5852.36405,5884.24338
TS98,-0.37815,-0.38369,1561.30758,1593.18690
TS99,-2.30590,-2.31918,13787.54330,13819.42262
TS100,0.98570,0.98565,-2573.67034,-2541.79102
