Time Series,R2,R2_Adj,AIC,BIC
TS1,-0.00015,-0.00417,6820.28800,6852.16732
TS2,0.48045,0.47837,10668.69290,10700.57223
TS3,-0.03928,-0.04345,91.49653,123.37585
TS4,0.09595,0.09232,1368.18269,1400.06201
TS5,-2.12576,-2.13832,15034.64553,15066.52485
TS6,-0.61941,-0.62592,11516.27649,11548.15582
TS7,0.00015,-0.00387,5726.21400,5758.09333
TS8,0.07527,0.07155,-558.78316,-526.90384
TS9,0.09864,0.09502,-2981.00577,-2949.12645
TS10,-0.73524,-0.74221,10214.62942,10246.50875
TS11,0.00188,-0.00213,4327.12065,4358.99997
TS12,0.56116,0.55940,3391.24412,3423.12344
TS13,0.50889,0.50692,-44.04167,-12.16235
TS14,-0.02019,-0.02429,13173.78762,13205.66694
TS15,-0.00001,-0.00403,446.50858,478.38791
TS16,0.84161,0.84097,3996.92182,4028.80114
TS17,0.27362,0.27070,13540.49403,13572.37336
TS18,-2.14546,-2.15810,3326.02245,3357.90177
TS19,0.45413,0.45194,2193.19213,2225.07145
TS20,0.65763,0.65626,5197.75246,5229.63178
TS21,0.76931,0.76838,1771.01846,1802.89778
TS22,0.64836,0.64694,1674.48770,1706.36702
TS23,-0.22583,-0.23076,5785.66373,5817.54305
TS24,-1.23533,-1.24431,2552.63961,2584.51894
TS25,0.41407,0.41171,1846.28477,1878.16409
TS26,0.71953,0.71840,3885.24536,3917.12469
TS27,-0.58168,-0.58804,7265.57162,7297.45094
TS28,0.92827,0.92798,-4310.07155,-4278.19223
TS29,-0.37731,-0.38284,11700.77411,11732.65343
TS30,0.81352,0.81277,-53.65845,-21.77913
TS31,0.25659,0.25361,-763.24132,-731.36200
TS32,0.87568,0.87518,2464.13452,2496.01385
TS33,0.30767,0.30489,9878.58850,9910.46782
TS34,-0.34197,-0.34737,10243.46478,10275.34410
TS35,-0.65773,-0.66439,-2441.82659,-2409.94727
TS36,0.99494,0.99492,-2287.30481,-2255.42549
TS37,0.01741,0.01346,7110.80162,7142.68094
TS38,0.99691,0.99690,-4099.19704,-4067.31772
TS39,-0.15324,-0.15788,8337.71735,8369.59667
TS40,0.41190,0.40954,10184.24253,10216.12185
TS41,0.21329,0.21013,2378.32225,2410.20157
TS42,0.75809,0.75712,1008.97112,1040.85045
TS43,-2.19651,-2.20935,435.67507,467.55439
TS44,0.83124,0.83057,3527.89428,3559.77360
TS45,0.96176,0.96161,-1151.58382,-1119.70450
TS46,-0.29004,-0.29522,8779.64283,8811.52215
TS47,-0.08813,-0.09250,4508.04313,4539.92245
TS48,-0.00015,-0.00417,5234.86365,5266.74298
TS49,0.69799,0.69678,8328.68556,8360.56488
TS50,-0.60575,-0.61221,3810.18813,3842.06745
TS51,-0.00627,-0.01031,14183.43585,14215.31517
TS52,0.63443,0.63296,4050.09039,4081.96971
TS53,0.88246,0.88199,3207.62641,3239.50573
TS54,0.73480,0.73374,2836.44204,2868.32136
TS55,0.65286,0.65147,9682.02499,9713.90432
TS56,0.82578,0.82508,2295.51438,2327.39371
TS57,0.56203,0.56027,904.51225,936.39157
TS58,-0.78924,-0.79643,4342.06585,4373.94517
TS59,-6.74544,-6.77657,17209.20164,17241.08096
TS60,0.14764,0.14422,-2279.91838,-2248.03906
TS61,-0.05307,-0.05730,14346.40577,14378.28510
TS62,0.57820,0.57650,4937.05690,4968.93623
TS63,0.86670,0.86616,3348.30929,3380.18861
TS64,-0.00657,-0.01062,1731.38894,1763.26826
TS65,0.75044,0.74943,1251.22762,1283.10694
TS66,-0.64890,-0.65553,11120.60650,11152.48582
TS67,-2.20368,-2.21656,14183.45136,14215.33069
TS68,-0.46504,-0.47093,10450.88124,10482.76056
TS69,0.00001,-0.00401,1338.25877,1370.13809
TS70,-0.00200,-0.00603,6155.91221,6187.79153
TS71,-0.67659,-0.68333,13376.36571,13408.24503
TS72,-2.66084,-2.67556,10829.05995,10860.93928
TS73,-0.60380,-0.61024,2687.05810,2718.93742
TS74,0.67502,0.67372,4249.18571,4281.06503
TS75,0.46290,0.46074,9702.36322,9734.24254
TS76,-0.57409,-0.58042,-1727.80143,-1695.92211
TS77,0.05416,0.05036,6794.31385,6826.19317
TS78,-0.55854,-0.56481,-1040.14176,-1008.26244
TS79,0.59801,0.59640,-2029.91670,-1998.03738
TS80,-0.85480,-0.86225,7553.19324,7585.07256
TS81,0.50407,0.50208,-1539.65323,-1507.77391
TS82,0.57758,0.57588,8942.40154,8974.28086
TS83,-0.29555,-0.30076,14707.23280,14739.11213
TS84,-0.49775,-0.50377,2785.46829,2817.34762
TS85,0.25180,0.24880,2940.27270,2972.15202
TS86,-0.00000,-0.00402,6979.14405,7011.02337
TS87,0.55612,0.55433,3977.31481,4009.19413
TS88,0.27007,0.26713,856.25990,888.13922
TS89,0.32930,0.32660,3805.20585,3837.08517
TS90,-0.27801,-0.28314,12450.75462,12482.63394
TS91,0.45637,0.45418,653.19181,685.07113
TS92,-0.00190,-0.00593,6225.59924,6257.47856
TS93,0.00338,-0.00063,6492.88093,6524.76025
TS94,0.56278,0.56103,1150.39672,1182.27604
TS95,-2.52458,-2.53875,39.05657,70.93590
TS96,0.44412,0.44188,11197.73209,11229.61142
TS97,-2.24728,-2.26033,5852.36405,5884.24338
TS98,-0.37815,-0.38369,1561.30758,1593.18690
TS99,-2.30659,-2.31988,13787.85877,13819.73809
TS100,0.98560,0.98554,-2563.10303,-2531.22371
