Time Series,R2,R2_Adj,AIC,BIC
TS1,0.99987,0.99987,6565.01466,6596.89398
TS2,-87.65079,-88.00705,9870.01232,9901.89164
TS3,0.96161,0.96145,5846.12286,5878.00219
TS4,0.00023,-0.00379,5274.70159,5306.58092
TS5,0.00000,-0.00402,15024.92983,15056.80915
TS6,-3.43982,-3.45766,11435.59646,11467.47578
TS7,-105.37239,-105.79987,7629.61793,7661.49725
TS8,0.99982,0.99982,-4985.49809,-4953.61877
TS9,0.99992,0.99992,1085.03861,1116.91793
TS10,-1682731.26809,-1689493.75544,8895.79942,8927.67874
TS11,0.29196,0.28911,15067.04404,15098.92336
TS12,-822268847899014917521408.00000,-825573344273692778037248.00000,-4725.01321,-4693.13389
TS13,0.99872,0.99871,133.94674,165.82607
TS14,0.00000,-0.00402,13133.91667,13165.79599
TS15,1.00000,1.00000,7688.76805,7720.64738
TS16,0.99368,0.99365,2743.46098,2775.34031
TS17,-1.77242,-1.78356,13540.39816,13572.27749
TS18,0.94236,0.94213,7432.87446,7464.75378
TS19,0.70520,0.70401,2174.02296,2205.90228
TS20,0.99964,0.99963,2902.28664,2934.16597
TS21,0.00078,-0.00324,3904.91077,3936.79009
TS22,0.42562,0.42331,6365.09956,6396.97889
TS23,-27.51993,-27.63454,5554.24632,5586.12564
TS24,0.89934,0.89894,5549.50652,5581.38585
TS25,0.00000,-0.00402,-3602.04095,-3570.16163
TS26,0.99824,0.99823,3455.58068,3487.46001
TS27,0.87820,0.87771,9593.66138,9625.54070
TS28,-1.38689,-1.39648,-2027.23928,-1995.35996
TS29,0.74175,0.74072,11729.11426,11760.99358
TS30,0.99979,0.99978,13.91902,45.79835
TS31,0.99918,0.99918,-759.53652,-727.65719
TS32,0.99637,0.99636,2278.30604,2310.18536
TS33,-62.11873,-62.37239,9527.81040,9559.68972
TS34,-213.37085,-214.23236,11813.89216,11845.77148
TS35,0.99797,0.99796,2044.81045,2076.68977
TS36,0.99951,0.99951,4278.01267,4309.89199
TS37,0.54770,0.54588,8270.56403,8302.44335
TS38,0.00000,-0.00402,-9403.92559,-9372.04627
TS39,-6.13147,-6.16013,7673.28967,7705.16899
TS40,-92.55746,-92.93344,8638.07338,8669.95270
TS41,0.99906,0.99906,2317.44958,2349.32890
TS42,0.08399,0.08031,1759.11759,1790.99691
TS43,0.62889,0.62740,12499.27847,12531.15779
TS44,-0.18013,-0.18488,2346.52309,2378.40242
TS45,-520899819004072469320433664.00000,-522993187332287076484775936.00000,-1286.46942,-1254.59010
TS46,-0.21945,-0.22435,10890.63118,10922.51050
TS47,0.95111,0.95091,6213.50840,6245.38772
TS48,-4384781210718748085544026112.00000,-4402402568564904964835508224.00000,10226.80265,10258.68197
TS49,-4439.83416,-4457.68078,8211.47021,8243.34953
TS50,-0.05704,-0.06129,11569.65134,11601.53066
TS51,-4.17503,-4.19582,14040.06084,14071.94016
TS52,0.99841,0.99841,2831.14228,2863.02161
