Time Series,R2,R2_Adj,AIC,BIC
TS1,0.99984,0.99984,6820.03490,6851.91422
TS2,-87.65079,-88.00705,9870.01232,9901.89164
TS3,0.96156,0.96141,5848.00537,5879.88469
TS4,-0.00000,-0.00402,5275.05071,5306.93003
TS5,0.00000,-0.00402,15024.92983,15056.80915
TS6,-3.43982,-3.45766,11435.59646,11467.47578
TS7,-105.37239,-105.79987,7629.61793,7661.49725
TS8,0.99982,0.99982,-4985.49809,-4953.61877
TS9,0.99992,0.99992,1108.64676,1140.52608
TS10,-1682731.26809,-1689493.75544,8895.79942,8927.67874
TS11,0.29196,0.28911,15067.04404,15098.92336
TS12,-822268847899014917521408.00000,-825573344273692778037248.00000,-4725.01321,-4693.13389
TS13,0.99872,0.99871,133.94674,165.82607
TS14,0.00000,-0.00402,13133.91667,13165.79599
TS15,1.00000,1.00000,9638.82953,9670.70885
TS16,0.99347,0.99345,2791.20579,2823.08512
TS17,-1.77242,-1.78356,13540.39816,13572.27749
TS18,0.94236,0.94213,7432.87446,7464.75378
TS19,0.70136,0.70016,2193.43558,2225.31490
TS20,0.99963,0.99963,2909.79591,2941.67523
TS21,0.00078,-0.00324,3904.91077,3936.79009
TS22,0.00042,-0.00360,7196.16092,7228.04025
TS23,-27.51993,-27.63454,5554.24632,5586.12564
TS24,0.89934,0.89894,5549.50652,5581.38585
TS25,0.00000,-0.00402,-3602.04095,-3570.16163
TS26,0.99824,0.99823,3455.58068,3487.46001
TS27,0.87820,0.87771,9593.66138,9625.54070
TS28,-1.38689,-1.39648,-2027.23928,-1995.35996
TS29,0.74174,0.74070,11729.20456,11761.08389
TS30,0.99978,0.99978,60.78392,92.66324
TS31,0.99918,0.99918,-759.53652,-727.65719
TS32,0.99618,0.99617,2355.33138,2387.21070
TS33,-62.11873,-62.37239,9527.81040,9559.68972
TS34,-213.37085,-214.23236,11813.89216,11845.77148
TS35,0.99764,0.99763,2267.77838,2299.65770
TS36,0.99934,0.99934,4737.54156,4769.42088
TS37,0.51838,0.51645,8364.76517,8396.64450
TS38,0.00000,-0.00402,-9403.92559,-9372.04627
TS39,-6.13147,-6.16013,7673.28967,7705.16899
TS40,-92.55746,-92.93344,8638.07338,8669.95270
TS41,0.99901,0.99901,2394.51957,2426.39890
TS42,0.07952,0.07582,1766.41004,1798.28937
TS43,0.62474,0.62323,12515.95865,12547.83797
TS44,-0.18013,-0.18488,2346.52309,2378.40242
TS45,-530088294922870351353348096.00000,-532218589477148488575746048.00000,-1260.24065,-1228.36133
TS46,-0.21945,-0.22435,10890.63118,10922.51050
TS47,0.95111,0.95091,6213.50840,6245.38772
TS48,-4384781210718748085544026112.00000,-4402402568564904964835508224.00000,10226.80265,10258.68197
TS49,-4440.68901,-4458.53907,8211.75893,8243.63825
TS50,-0.05710,-0.06134,11569.72454,11601.60386
TS51,-4.17503,-4.19582,14040.06084,14071.94016
TS52,0.99834,0.99833,2904.74199,2936.62131
TS53,-13767538201745649266071699456.00000,-13822866553527614353684037632.00000,2762.25095,2794.13027
TS54,1.00000,1.00000,2862.99851,2894.87783
TS55,0.95002,0.94982,9025.92192,9057.80124
