Time Series,Metric,alpha,init,IMFs
TS1,R2,100,0,1 - 9
TS1,R2_Adj,100,0,1 - 9
TS1,AIC,100,0,1 - 9
TS1,BIC,100,0,1 - 9
TS2,R2,40000,1,1 - 10
TS2,R2_Adj,40000,1,1 - 10
TS2,AIC,40000,1,1 - 10
TS2,BIC,40000,1,1 - 10
TS3,R2,1,2,1 - 10
TS3,R2_Adj,1,2,1 - 10
TS3,AIC,1,2,1 - 10
TS3,BIC,1,2,1 - 10
TS4,R2,300,1,1 - 10
TS4,R2_Adj,300,1,1 - 10
TS4,AIC,300,1,1 - 10
TS4,BIC,300,1,1 - 10
TS5,R2,50000,2,1 - 1
TS5,R2_Adj,50000,2,1 - 1
TS5,AIC,50000,2,1 - 1
TS5,BIC,50000,2,1 - 1
TS6,R2,2500,0,1 - 6
TS6,R2_Adj,2500,0,1 - 6
TS6,AIC,2500,0,1 - 6
TS6,BIC,2500,0,1 - 6
TS7,R2,1,2,1 - 10
TS7,R2_Adj,1,2,1 - 10
TS7,AIC,1,2,1 - 10
TS7,BIC,1,2,1 - 10
TS8,R2,100,1,1 - 10
TS8,R2_Adj,100,1,1 - 10
TS8,AIC,100,1,1 - 10
TS8,BIC,100,1,1 - 10
TS9,R2,1,0,1 - 3
TS9,R2_Adj,1,0,1 - 3
TS9,AIC,1,0,1 - 3
TS9,BIC,1,0,1 - 3
TS10,R2,1,0,1 - 6
TS10,R2_Adj,1,0,1 - 6
TS10,AIC,1,0,1 - 6
TS10,BIC,1,0,1 - 6
TS11,R2,1,1,1 - 10
TS11,R2_Adj,1,1,1 - 10
TS11,AIC,1,1,1 - 10
TS11,BIC,1,1,1 - 10
TS12,R2,5000,2,1 - 10
TS12,R2_Adj,5000,2,1 - 10
TS12,AIC,5000,2,1 - 10
TS12,BIC,5000,2,1 - 10
TS13,R2,500,1,1 - 8
TS13,R2_Adj,500,1,1 - 8
TS13,AIC,500,1,1 - 8
TS13,BIC,500,1,1 - 8
TS14,R2,1,1,1 - 10
TS14,R2_Adj,1,1,1 - 10
TS14,AIC,1,1,1 - 10
TS14,BIC,1,1,1 - 10
TS15,R2,1,2,1 - 10
TS15,R2_Adj,1,2,1 - 10
TS15,AIC,1,2,1 - 10
TS15,BIC,1,2,1 - 10
TS16,R2,50000,2,1 - 10
TS16,R2_Adj,50000,2,1 - 10
TS16,AIC,50000,2,1 - 10
TS16,BIC,50000,2,1 - 10
TS17,R2,50000,0,1 - 1
TS17,R2_Adj,50000,0,1 - 1
TS17,AIC,50000,0,1 - 1
TS17,BIC,50000,0,1 - 1
TS18,R2,1,1,1 - 10
TS18,R2_Adj,1,1,1 - 10
TS18,AIC,1,1,1 - 10
TS18,BIC,1,1,1 - 10
TS19,R2,3500,2,1 - 9
TS19,R2_Adj,3500,2,1 - 9
TS19,AIC,3500,2,1 - 9
TS19,BIC,3500,2,1 - 9
TS20,R2,7500,2,1 - 9
TS20,R2_Adj,7500,2,1 - 9
TS20,AIC,7500,2,1 - 9
TS20,BIC,7500,2,1 - 9
TS21,R2,1500,0,1 - 10
TS21,R2_Adj,1500,0,1 - 10
TS21,AIC,1500,0,1 - 10
TS21,BIC,1500,0,1 - 10
TS22,R2,5000,2,1 - 10
TS22,R2_Adj,5000,2,1 - 10
TS22,AIC,5000,2,1 - 10
TS22,BIC,5000,2,1 - 10
TS23,R2,20000,2,1 - 6
TS23,R2_Adj,20000,2,1 - 6
TS23,AIC,20000,2,1 - 6
TS23,BIC,20000,2,1 - 6
TS24,R2,0,0,1 - 1
TS24,R2_Adj,0,0,1 - 1
TS24,AIC,0,0,1 - 1
TS24,BIC,0,0,1 - 1
TS25,R2,1000,1,1 - 10
TS25,R2_Adj,1000,1,1 - 10
TS25,AIC,1000,1,1 - 10
TS25,BIC,1000,1,1 - 10
TS26,R2,42500,2,1 - 8
TS26,R2_Adj,42500,2,1 - 8
TS26,AIC,42500,2,1 - 8
TS26,BIC,42500,2,1 - 8
TS27,R2,1,0,1 - 9
TS27,R2_Adj,1,0,1 - 9
TS27,AIC,1,0,1 - 9
TS27,BIC,1,0,1 - 9
TS28,R2,300,1,1 - 5
TS28,R2_Adj,300,1,1 - 5
TS28,AIC,300,1,1 - 5
TS28,BIC,300,1,1 - 5
TS29,R2,1,2,1 - 9
TS29,R2_Adj,1,2,1 - 9
TS29,AIC,1,2,1 - 9
TS29,BIC,1,2,1 - 9
TS30,R2,50,2,1 - 5
TS30,R2_Adj,50,2,1 - 5
TS30,AIC,50,2,1 - 5
TS30,BIC,50,2,1 - 5
TS31,R2,2500,2,1 - 3
TS31,R2_Adj,2500,2,1 - 3
TS31,AIC,2500,2,1 - 3
TS31,BIC,2500,2,1 - 3
TS32,R2,10000,0,1 - 6
TS32,R2_Adj,10000,0,1 - 6
TS32,AIC,10000,0,1 - 6
TS32,BIC,10000,0,1 - 6
TS33,R2,500,0,1 - 5
TS33,R2_Adj,500,0,1 - 5
TS33,AIC,500,0,1 - 5
TS33,BIC,500,0,1 - 5
TS34,R2,1,1,1 - 10
TS34,R2_Adj,1,1,1 - 10
TS34,AIC,1,1,1 - 10
TS34,BIC,1,1,1 - 10
TS35,R2,100,0,1 - 10
