Time Series,Metric,alpha,init,IMFs
TS1,R2,100,0,1 - 9
TS1,R2_Adj,100,0,1 - 9
TS1,AIC,100,0,1 - 9
TS1,BIC,100,0,1 - 9
TS2,R2,50000,0,1 - 1
TS2,R2_Adj,50000,0,1 - 1
TS2,AIC,50000,0,1 - 1
TS2,BIC,50000,0,1 - 1
TS3,R2,17500,0,1 - 1
TS3,R2_Adj,17500,0,1 - 1
TS3,AIC,17500,0,1 - 1
TS3,BIC,17500,0,1 - 1
TS4,R2,8000,2,1 - 1
TS4,R2_Adj,8000,2,1 - 1
TS4,AIC,8000,2,1 - 1
TS4,BIC,8000,2,1 - 1
TS5,R2,0,0,1 - 1
TS5,R2_Adj,1,0,1 - 1
TS5,AIC,50000,0,1 - 1
TS5,BIC,50000,0,1 - 1
TS6,R2,50000,0,1 - 1
TS6,R2_Adj,50000,0,1 - 1
TS6,AIC,50000,0,1 - 1
TS6,BIC,50000,0,1 - 1
TS7,R2,50000,0,1 - 1
TS7,R2_Adj,50000,0,1 - 1
TS7,AIC,50000,0,1 - 1
TS7,BIC,50000,0,1 - 1
TS8,R2,17500,2,1 - 2
TS8,R2_Adj,17500,2,1 - 2
TS8,AIC,15000,2,1 - 2
TS8,BIC,15000,2,1 - 2
TS9,R2,100,2,1 - 1
TS9,R2_Adj,100,2,1 - 1
TS9,AIC,100,2,1 - 1
TS9,BIC,100,2,1 - 1
TS10,R2,50000,0,1 - 1
TS10,R2_Adj,50000,0,1 - 1
TS10,AIC,50000,0,1 - 1
TS10,BIC,50000,0,1 - 1
TS11,R2,50000,2,1 - 8
TS11,R2_Adj,50000,2,1 - 8
TS11,AIC,50000,2,1 - 8
TS11,BIC,50000,2,1 - 8
TS12,R2,50000,0,1 - 1
TS12,R2_Adj,50000,0,1 - 1
TS12,AIC,50000,0,1 - 1
TS12,BIC,50000,0,1 - 1
TS13,R2,500,2,1 - 9
TS13,R2_Adj,500,2,1 - 9
TS13,AIC,500,2,1 - 9
TS13,BIC,500,2,1 - 9
TS14,R2,0,0,1 - 1
TS14,R2_Adj,1,0,1 - 1
TS14,AIC,50000,2,1 - 1
TS14,BIC,50000,2,1 - 1
TS15,R2,2500,1,1 - 1
TS15,R2_Adj,2500,1,1 - 1
TS15,AIC,1500,2,1 - 1
TS15,BIC,1500,2,1 - 1
TS16,R2,6000,1,1 - 2
TS16,R2_Adj,6000,1,1 - 2
TS16,AIC,6000,1,1 - 2
TS16,BIC,6000,1,1 - 2
TS17,R2,50000,0,1 - 1
TS17,R2_Adj,50000,0,1 - 1
TS17,AIC,50000,0,1 - 1
TS17,BIC,50000,0,1 - 1
TS18,R2,50000,2,1 - 1
TS18,R2_Adj,50000,2,1 - 1
TS18,AIC,50000,2,1 - 1
TS18,BIC,50000,2,1 - 1
TS19,R2,3500,2,1 - 9
TS19,R2_Adj,3500,2,1 - 9
TS19,AIC,3500,2,1 - 9
TS19,BIC,3500,2,1 - 9
TS20,R2,8000,0,1 - 5
TS20,R2_Adj,8000,0,1 - 5
TS20,AIC,8000,0,1 - 5
TS20,BIC,8000,0,1 - 5
TS21,R2,50000,1,1 - 1
TS21,R2_Adj,50000,1,1 - 1
TS21,AIC,50000,1,1 - 1
TS21,BIC,50000,1,1 - 1
TS22,R2,17500,2,1 - 5
TS22,R2_Adj,17500,2,1 - 5
TS22,AIC,17500,2,1 - 5
TS22,BIC,17500,2,1 - 5
TS23,R2,50000,0,1 - 1
TS23,R2_Adj,50000,0,1 - 1
TS23,AIC,50000,0,1 - 1
TS23,BIC,50000,0,1 - 1
TS24,R2,50000,0,1 - 1
TS24,R2_Adj,50000,0,1 - 1
TS24,AIC,50000,0,1 - 1
TS24,BIC,50000,0,1 - 1
TS25,R2,0,0,1 - 1
TS25,R2_Adj,1,0,1 - 1
TS25,AIC,50000,0,1 - 1
TS25,BIC,50000,0,1 - 1
TS26,R2,40000,0,1 - 6
TS26,R2_Adj,40000,0,1 - 6
TS26,AIC,40000,0,1 - 6
TS26,BIC,40000,0,1 - 6
TS27,R2,50000,2,1 - 1
TS27,R2_Adj,50000,2,1 - 1
TS27,AIC,50000,2,1 - 1
TS27,BIC,50000,2,1 - 1
TS28,R2,50000,0,1 - 1
TS28,R2_Adj,50000,0,1 - 1
TS28,AIC,50000,0,1 - 1
TS28,BIC,50000,0,1 - 1
TS29,R2,37500,1,1 - 1
TS29,R2_Adj,37500,1,1 - 1
TS29,AIC,37500,1,1 - 1
TS29,BIC,37500,1,1 - 1
TS30,R2,100,1,1 - 4
TS30,R2_Adj,100,1,1 - 4
TS30,AIC,100,1,1 - 4
TS30,BIC,100,1,1 - 4
TS31,R2,37500,2,1 - 5
TS31,R2_Adj,20000,2,1 - 4
TS31,AIC,20000,2,1 - 4
TS31,BIC,20000,2,1 - 4
TS32,R2,1,1,1 - 1
TS32,R2_Adj,1,1,1 - 1
TS32,AIC,1,1,1 - 1
TS32,BIC,1,1,1 - 1
TS33,R2,50000,0,1 - 1
TS33,R2_Adj,50000,0,1 - 1
TS33,AIC,50000,0,1 - 1
TS33,BIC,50000,0,1 - 1
TS34,R2,50000,0,1 - 1
TS34,R2_Adj,50000,0,1 - 1
