Time Series,Metric,alpha,init,IMFs
TS1,R2,0,0,1 - 1
TS1,R2_Adj,0,0,1 - 1
TS1,AIC,0,0,1 - 1
TS1,BIC,0,0,1 - 1
TS2,R2,50000,0,1 - 1
TS2,R2_Adj,50000,0,1 - 1
TS2,AIC,50000,0,1 - 1
TS2,BIC,50000,0,1 - 1
TS3,R2,15000,0,1 - 1
TS3,R2_Adj,15000,0,1 - 1
TS3,AIC,15000,0,1 - 1
TS3,BIC,15000,0,1 - 1
TS4,R2,15000,2,1 - 1
TS4,R2_Adj,15000,2,1 - 1
TS4,AIC,15000,2,1 - 1
TS4,BIC,15000,2,1 - 1
TS5,R2,0,0,1 - 1
TS5,R2_Adj,0,0,1 - 1
TS5,AIC,50000,0,1 - 1
TS5,BIC,50000,0,1 - 1
TS6,R2,50000,0,1 - 1
TS6,R2_Adj,50000,0,1 - 1
TS6,AIC,50000,0,1 - 1
TS6,BIC,50000,0,1 - 1
TS7,R2,50000,0,1 - 1
TS7,R2_Adj,50000,0,1 - 1
TS7,AIC,50000,0,1 - 1
TS7,BIC,50000,0,1 - 1
TS8,R2,15000,2,1 - 2
TS8,R2_Adj,15000,2,1 - 2
TS8,AIC,15000,2,1 - 2
TS8,BIC,15000,2,1 - 2
TS9,R2,500,1,1 - 1
TS9,R2_Adj,500,1,1 - 1
TS9,AIC,500,1,1 - 1
TS9,BIC,500,1,1 - 1
TS10,R2,50000,0,1 - 1
TS10,R2_Adj,50000,0,1 - 1
TS10,AIC,50000,0,1 - 1
TS10,BIC,50000,0,1 - 1
TS11,R2,50000,2,1 - 8
TS11,R2_Adj,50000,2,1 - 8
TS11,AIC,50000,2,1 - 8
TS11,BIC,50000,2,1 - 8
TS12,R2,50000,0,1 - 1
TS12,R2_Adj,50000,0,1 - 1
TS12,AIC,50000,0,1 - 1
TS12,BIC,50000,0,1 - 1
TS13,R2,500,2,1 - 9
TS13,R2_Adj,500,2,1 - 9
TS13,AIC,500,2,1 - 9
TS13,BIC,500,2,1 - 9
TS14,R2,0,0,1 - 1
TS14,R2_Adj,0,0,1 - 1
TS14,AIC,50000,2,1 - 1
TS14,BIC,50000,2,1 - 1
TS15,R2,2500,1,1 - 1
TS15,R2_Adj,2500,1,1 - 1
